Index,Post,Trans,Label,Type
19001,"Есть ещё один важный момент. Почему ВСУ пошли в атаку именно сегодня? В ночь с пятницы на субботу.

Да ровно потому же, почему взрыв Крымского моста был совершен рано утром в субботу.  Как и многие другие теракты, атаки, нападения происходили именно в выходные.

Английские в первую очередь, и американские отчасти аналитики, которые работают с Киевом, прекрасно понимают, как устроена российская бюрократическая машина. Она работает по пятидневке. А также по принципу ""давай уже после праздников"". Это касается в определённой степени даже силовых структур и военных. 

Поэтому и наступление в  субботу. Другое дело, что последние разы российская управленческая машина продемонстрировала, что вполне себе и по выходным и по ночам научилась реагировать и действовать.

Однако, британские ребята довольно системные, и пока точно не поймут, что мы ушли с нашей ""пятидневки"" на режим военного времени, будут пробовать применять прежнюю схему. 

И совершенно точно, что ВСУ будут действовать весьма и весьма активно. У них было время подсобраться. Из Британии уже видимо прибыли те украинские солдаты и офицеры, что проходили там подготовку. Причём, проходили подготовку плотно, по стандартам НАТО и британских ЧВК. А не в казармах сидели и не в поездах бессмысленно катались по Британии туда-сюда. 

Эти подготовленные и слаженные подразделения сейчас и пойдут в бой. И под Херсоном, и на других направлениях. 

Киеву нужна перемога. Хоть бы и медийная. Точнее так. НАТО нужна победа Киева, потому что как мы уже знаем, победа России это проигрыш НАТО. 
Так что для НАТО/Киева программа максимум на южном направлении попробовать взять Херсон, или выйти к Бердянску, рассечь таким образом новые российские территории.

Ничего особенного в этом нет. Просто планировать нашу стратегию и тактику необходимо исходя из этих условий.

https://t.me/epoddubny/13081","There is another important point. Why did the Ukrainian Armed Forces (VSO) launch an attack precisely today? On the night from Friday to Saturday.

It's exactly for the same reason that the explosion of the Crimean Bridge was carried out early Saturday morning. As with many other terrorist attacks, assaults, and raids, they occurred precisely on weekends.

Primarily British, and partially American analysts who work with Kyiv understand very well how the Russian bureaucratic machine operates. It follows a five-day schedule. And it also follows the principle of ""let's get it done after the holidays."" This applies to some extent even to law enforcement agencies and military forces.

Therefore, the attack on Saturday. The only thing is that in recent instances, the Russian administrative machine has shown that it can indeed react and act even on weekends and at night.

However, the British guys are quite systematic, and until they are sure that we have shifted from our ""five-day"" schedule to a wartime mode, they will continue to try using the old scheme.

And absolutely certain is that the VSO will be very active. They had time to prepare. British soldiers and officers who underwent training there have already arrived. They were trained intensively according to NATO and British private military company standards, not just sitting",No,
19002,"**❗️Несмотря на попытки ВСУ начать наступление в Херсонской области в районе Дудчан и обстрелы, в городе Бериславе, находящемся в 50 км южнее, спокойно, без сложных моментов. Линия обороны работает, ситуация находится под контролем.**

Кирилл Стремоусов","**❗️Despite the attempts by the Ukrainian Armed Forces (VSU) to launch an offensive in the Kherson region around Dudchany and their artillery strikes, the city of Berisov, located 50 km to the south, remains calm with no complicated issues. The defense line is holding, and the situation is under control.**

Kiriil Stremonyusov",No,
19003,"❗️🇷🇺🇺🇦 **Битва за Херсон: обстановка на Андреевском и Бериславском участках**
__по состоянию на 12.00 15 октября 2022 года__

🔻На **Бериславском** участке рано утром ВСУ силами **двух** батальонно-тактических групп 60 пехотной и бронетехникой 17 танковой бригад пошли в наступление со стороны **Новой Каменки** на рубеж **Дудчаны** — **Мыловое** — **Новогригоровка** с задачей перерезать пути сообщения и закрепиться на плацдарме. 

▪️Огневую поддержку украинским формированиям оказывают расчеты ствольной и реактивной артиллерии из позиционного района в **Петропавловке**. 

▪️В настоящее время продолжаются ожесточенные бои. Военнослужащие 205 бригады, 140 полка и 810 обрмп ВС РФ удерживают оборону на этом участке. В резерве стоят подразделения 126 гвардейской бригады береговой обороны, усиленные спецназом 10 бригады. 

▪️В районе **Давыдова Брода** также замечено передвижение личного состава и техники. С высокой долей вероятности силы 46 отдельной аэромобильной бригады ВСУ также предпримут попытку штурма российских позиций на рубеже **Садок** — **Борозенское**. 

🔻При этом ВСУ не задействуют все резервы для прорыва этого участка. Две БТГр пытаются вклиниться в оборонительные рубежи ВС РФ до подхода основных сил. 

Также не исключен вариант __«ложного»__ удара для отвлечения внимания от основного направления, которым может быть **Николаевский** участок или же российские позиции в Запорожской области.

[**Карта в большом разрешении**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085338-6e9d2092.jpg)

**Foreign versions of Berislav map**: [**DE**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085325-858db3fb.jpg) | [**EN**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085331-b5ff45da.jpg) | [**ES**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085333-f1a4a8f1.jpg) | [**FR**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085335-46677036.jpg) | [**IT**](https://rybar.ru/piwigo/upload/2022/10/15/20221015085336-83f51e15.jpg) 

#дайджест #карта #Николаев #Россия #Украина #Херсон
@rybar

*__Поддержать нас:__ `4377 7278 0407 7977`","❗️🇺🇸🇺🇦 **Battle for Kherson: Situation on the Berislav and Dniepropetrovsk Sections**
__as of 12:00, October 15, 2022__

🔻On the **Berislav** section, early in the morning, Ukrainian forces, with two battalion tactical groups from the 60th Infantry Brigade and supported by 17th Tank Brigade armor, launched an attack from **Novaya Kamenchyk** towards the line **Dudchany** — **Mylovoye** — **Novohrihoriivka**, aiming to cut off supply routes and secure a foothold.

▪️Artillery support for Ukrainian formations is provided by gun and rocket artillery units positioned in **Petrovichi**.

▪️Intense fighting continues. Troops from the 205th Brigade, 140th Battalion, and 810th Artillery Regiment of the Russian Armed Forces (VKS) are holding the defense on this section. Reserve units include detachments of the 126th Guards Coastal Defense Brigade reinforced by special forces from the 10th Brigade.

▪️In the area around **Davydov Brod",No,
19004,"Началось движение по фронту. Противник развивает атаки на Херсонщине в направлении Дудчаны и Мыловое, а также в направлении Суханово. Одновременно рано утром начался обстрел Северодонецка в ЛНР и работа артиллерии по линии Кременная-Сватово. 

Поедем, поработаем. Не теряйте.

@sashakots","The front began moving. The enemy is launching attacks towards Dudchany and Mylovo on the Kherson region, as well as towards Sukhanovo. Early in the morning, there was artillery fire on Severodonetsk in LNR and artillery activity along the Kreminna-Svatovo line.

Let's go, let's get to work. Don't lag behind.

@SashaKots",No,
19005,"**Началось большое наступление ВСУ на Южном фронте

**С утра поступают многочисленные сообщения об артподготовке и последовавшим за ним массированным наступлением украинской армии на **Никопольском направлении Южного фронта.** Враг двигается в направлении **Берислава** через **Дудчаны** и **Суханово**.

__Ваш, __[__Ꙃаставный__](https://t.me/zastavnyii)","**A large offensive by the Ukrainian Armed Forces began on the Southern Front.

Early reports indicate extensive artillery preparation followed by a massive advance of the Ukrainian army on the Nikopol direction of the Southern Front. The enemy is advancing towards Berislaw through Dudchany and Sukhanovo.

Yours, 
[Stubborn](https://t.me/zastavnyii)",No,
19006,"Попёрли в направлении Новогригоровка - Мыловое.

ВСУ с 5 часов утра вели арт подготовку.","They moved towards Novohryhorivka - Mylovo.

The Ukrainian Armed Forces (VСУ) conducted artillery preparation from 5 AM.",No,
19007,⚡️ В результате обстрела Кировского района г Донецка погибла женщина.,"⚡️ As a result of the shelling of the Kirovsky district of Donetsk, a woman was killed.",Yes,A
19008,"Вполне естественно, что хохол пытается обстреливать Белгород, один из самых красивых и благоустроенных городов России. За 8 месяцев войны белгородцы стали моими земляками, именно сюда я приезжаю возвращаясь из-за ноля. Что хотел бы сказать. Пока хохол не будет разбит, вся его злость и ненависть будет направлена именно на этот город. Мы наконец-то стали разрушать инфраструктуру киевского режима и в ответ он в бессильной злобе будет пытаться хоть как-то насолить нам. 

Что делать? Да все очень просто, должным образом продолжать готовить мужчин призванных по мобилизации, уничтожать инфраструктуру противника, убивать его солдат в еще больших масштабах. Идет тяжелая война, но мы обязательно победим. А когда победим, то возьмём сполна за все те годы, в которые хохол терроризировал российские города: Донецк, Луганск, Белгород. 

В очередной раз хотели бы отметить губернатора Белгородчины Гладкова. Человек реально находится на своём месте, на все 100 процентов.","It is perfectly natural that the occupier is trying to shell Belgorod, one of the most beautiful and well-maintained cities in Russia. By August of the war, the people of Belgorod had become my fellow countrymen, and it is here that I return from zero. What do I want to say? As long as the occupier is not defeated, all his anger and hatred will be directed precisely at this city. We are finally destroying the infrastructure of the Kyiv regime, and in response, he will try to inflict some damage on us out of helpless rage.

What should we do? It's very simple: properly prepare men conscripted for mobilization, destroy the enemy's infrastructure, and kill his soldiers on an even larger scale. This is a difficult war, but we will definitely win. And when we win, we will get full retribution for all those years during which the occupier terrorized Russian cities: Donetsk, Lugansk, Belgorod.

Once again, we would like to highlight Governor Gladkov of Belgorod Oblast. A person who is truly in his place, 100 percent.",No,
19009,"🇷🇺**Сводка 6 отдельного Казачьего полка за 14 октября**:

✔️Сегодня более успешный день, оттеснили укрофашистов на 400 метров, заняли две улицы в Соледаре!
✔️В ходе беспощадного огня артиллерии и наступательных действий подразделений полка были уничтожены -
✔️Огнём реактивного дивизиона РСЗО - 1 ед, грузовой автомобиль - 2 ед, укронацистов - 18 ед.
✔️Огнём гаубичного дивизиона - РСЗО - 1 ед, САУ - 2 ед, грузовик - 1 ед, укрофашистов - 15 ед.
✔️Огнём из автоматических гранатомётов - до 6 чел, огнём подразделений ПТУР - пикап - 1 ед, БМП - 1 ед.

💀🇺🇦Хочу отметить то что укрофашисты не занимаются эвакуацией своих погибших тоарищей а просто напросто скидывают тела в подвалы домов!
   Наши парни сегодня насчитали порядка 40 тел погибших укропов.

🇷🇺Любо казакам!!

Военкор Лисицын @evgeniy_lisitsyn","**Summary of the 6th Separate Cossack Regiment for October 14:**

✔️ Today was a more successful day; we pushed back the Ukrainian fascists by 400 meters and captured two streets in Soloveychik!
✔️ During relentless artillery fire and the advance of regimental units, the following were destroyed:
- Rocket Systems Artillery (RСЗО) launcher: 1 unit, cargo trucks: 2 units, Ukrainian fascists: 18 individuals.
- Howitzer artillery (RСЗО): 1 unit, armored personnel carriers (БТР): 2 units, cargo trucks: 1 unit, Ukrainian fascists: 15 individuals.
- Machine gun grenade launchers: up to 6 individuals, anti-tank missile systems: pickup truck: 1 unit, armored personnel carrier (БМП): 1 unit.

💀🇺🇦 It's worth noting that the Ukrainian fascists do not evacuate their fallen comrades but simply dump bodies in basements of buildings!
   Our guys counted around 40 bodies of dead ""ukrop"" today.

🇷🇺 Glory to the Cossacks!!

Military Correspondent Lisitsyn @evgeniy_lisitsyn",No,
19010,"Я так сердито, как коллега Саблин писать не умею, конечно.  Но, что добавить, у меня есть.

Там сегодня некто высказался, что Москва, дескать, гнилая оказалась в плане мобилизации.

То есть парни из Москвы, которые ушли добровольцами, оказались, значит, гнилые.

Те, москвичи, что только сейчас тренируются на полигонах, или уже на линии боевого соприкосновения. Тоже гнилые?

Московские чиновники, что работают в Луганске и Донецке. Строители, электрики,  специалисты Мосгаза, сферы ЖКХ. Которые на деньги столичного бюджета восстанавливают разрушенные ВСУ школы, дома, строят дороги. Мэр, который регулярно ездит на новые территории России. Замы его? Бирюков, скажем  Тоже, поди, гнилые люди?

Ну и волонтёры. Которые курсы подготовки открыли. Которые грузы возят военным. Люди, которые собирают деньги на коптеры, на снаряжение, на теплаки, на снаряжение.  И они гнилые?

Может, конечно, имелось ввиду, что убежали из столицы многие. Честно сказать, не больше, чем в других регионах, просто столица сама по себе это 12 миллионов населения.

Про облавы какие-то сегодня ленивый не написал. Оставим в стороне навык военных объяснять и взаимодействовать. Объясню сам. Человек, если он подлежит мобилизации, если извещен, и, скажем, явился один раз в военкомат, а потом решил более никуда не ходить, объявляется в розыск. Как уклонист. Собственно их искали, попутно работая по розыску других лиц, не имеющих отношения к мобилизации.   Нарушения могли быть. Человеческий фактор не отменял никто. Коллега по Мосгордуме Кирилл Щитов с этим разбирался сегодня. 

Опять же. Военные должны научиться объяснять свои действия, это раз. Устраивать такой вот уличное представление, так себе идея в наше время, это два. Чтобы выявить уклониста есть десяток других способов. 

Но! Москва не лучше и не хуже других городов. Также воюет, помогает армии и Новороссии. Также теряет своих людей. Также собирает отряды. Также переживает. Мои ровесники, знакомые москвичи, воевавшие когда-то на Кавказе, снова идут под ружье. У моей однокурсницы сын уже воюет, 24 года парню. У друга, крупного бизнесмена, охранники ушли добровольцами. Он их сняряжал, и теперь закупает им в подразделение дополнительно рации, ПНВ, теплаки, прицелы.
Так что критиковать да, дело нужное. Когда за дело. И когда человек критикующий понимает, что говорит. В чем иногда есть сомнения.

PS  Я помню, как террорист-смертник в 2003 году въехал на территории госпиталя в Моздоке. Взрыв, десятки погибших. Влетел он на скорости в ворота потому что на дороге, ведущей к госпиталю,  в нарушение всех инструкций не поставили бетонные блоки. Тогда всю вину за это пытались возложить на главврача госпиталя.
Кстати, никто не помнит, кто тогда 58-й армией командовал? А ещё я забыл, командующий ушёл в отставку тогда, осознал свою ответственность за гибель людей? Замов много послетало, помню. Это как мы считаем, гнилая история? Или нет? 

https://t.me/DV_Sablin/1359","I write as angrily as Sabinin, my colleague, of course cannot. But what else to add, I have something to say.

Today someone said that Moscow turned out to be rotten in terms of mobilization.

That is, the guys from Moscow who went voluntarily ended up being considered rotten.

Those who are only now training on military bases or already on the frontline – are they also rotten?

The Moscow officials working in Luhansk and Donetsk. The builders, electricians, specialists from Mosgaz, and those in the housing and utilities sector. Those who, with funds from the city budget, are restoring schools and houses destroyed by the Ukrainian military, building roads. The mayor who regularly travels to new territories of Russia. His deputies? Let's say Biryukov – are they also rotten people?

And the volunteers. Those who opened training courses. Those who transport supplies to the troops. People who collect money for drones, equipment, heating systems, and other gear. Are they also rotten?

Maybe it was meant that many fled the capital. Honestly, no more than in other regions; it’s just that the capital itself has 12 million inhabitants.

Speaking of raids, today someone didn’t mention them. Let’s leave aside the skill of military personnel",No,
