Index,Post,Trans,Label,Type
20001,"Тот самый врач Дмитрий Бессонов, оставшийся во время обстрела роддома с нетранспортабельными новорожденными.

- Обстрел усилился. Все сотрудники отправились в подвал. Со мной в отделении наверху остались медсестра Татьяна Бондаренко и дежурный врач Наталья Матюхина, - продолжает врач-герой. - Они опытные, но все равно девочки. Девочки, которым страшно. Очень боялся, что запаникуют и тогда была бы катастрофа. Но они держались молодцом. Мы перевезли детей в коридор, между двумя несущими стенами.

А около семи вечера стены роддома содрогнулись от страшного удара — снаряд угодил в один из кабинетов, буквально в десятке метров от того места, где были медики с младенцами.

- Он пробил крышу, взрывной волной вышибло стекла. Потом их пересчитали — больше ста штук. Повезло. Ни дети, ни персонал не пострадали. Сначала кто-то сказал, что одного ребенка засыпало стеклом, но это не так. Все они во время удара были в коридоре.

[Интервью целиком](https://www.kp.ru/daily/27407.5/4604787/)

@sashakots","That very doctor, Dmitry Bessonov, who stayed behind during the hle neospital bombing with untransportabwborns.

- The bombing intensified. All the staff went to the basement. Sister Tatyana Bondarenko and on-duty doctor Natalya Matyukhina were left in the ward upstairs with me, - continues the hero doctor. - They are experienced, but still just girls. Girls who are scared. I was very afraid they would panic, which would have been a catastrophe. But they held their ground. We moved the children into the corridor between two load-bearing walls.

Around seven in the evening, the walls of the maternity hospital shook from a terrible impact – a shell hit one of the rooms, just a dozen meters from where the medical staff and infants were.

- It pierced the roof, and the blast wave shattered the windows. Then they counted the windows – over a hundred. We were lucky. Neither the children nor the staff were injured. At first, someone said that one child was buried under the glass, but that wasn't true. All of them were in the corridor during the impact.

[Full Interview](https://www.kp.ru/daily/27407.5/4604787/)",Yes,B
20002,"Вслед за предложением передать Киеву «несколько ядерных боеголовок для защиты независимости Украины», прозвучавшим из Польши, о необходимости быть готовыми применить ядерное оружие на территории незалежной заговорили и в Германии. 

Командующий Люфтваффе Инго Герхартц заявил, что НАТО «нужно быть готовым к применим ЯО на территории Украины в случае нанесения аналогичного удара российскими войсками».

[…] «Для надежного сдерживания нам нужны как средства поражения, так и политическая воля, чтобы реализовать ядерное сдерживание, если это необходимо», - заявил немецкий генерал. 

Москва неоднократно подчеркивала, что применение каких-либо ядерных боеприпасов со стороны России - исключено, но для западного политикума раскачка кейса ОМП очень удобна в плане оказания психологического давления на своих союзников.

@epoddubny","Following the proposal from Poland to give Kyiv ""a few nuclear warheads for protecting Ukraine's independence,"" the necessity of being prepared to use nuclear weapons on Ukrainian territory was also discussed in Germany.

Air Force Commander Ingo Gerhartz stated that NATO ""needs to be ready to use nuclear weapons on Ukrainian territory in case of a similar strike by Russian forces.""

""[W]e need both means of destruction and the political will to implement nuclear deterrence if necessary,"" declared the German general.

Moscow has repeatedly emphasized that the use of any nuclear munitions by Russia is excluded, but for the Western political elite, stirring up the chemical weapons case is very convenient for applying psychological pressure on their allies.",No,
20003,"Донецк снова под массированным огнём украинских формирований. С утра ВСУ хаотично бьют по Киевскому и Куйбышевскому районам города. 

За прошедшую неделю в одном только Донецке в результате обстрелов 12 мирных жителей, включая ребёнка, погибли, 93 человека, в том числе пятеро детей, были ранены.

@epoddubny","Donetsk is again under heavy fire from Ukrainian forces. In the morning, the Ukrainian military randomly shelled the Kyivsky and Kuybyshevsky districts of the city.

In just one week, 12 civilians, including a child, were killed in Donetsk as a result of the bombardments, while 93 people, including five children, were injured.",Yes,A
20004,"Фонд ""Доктор Лиза"" вчера отметил День медицинского работника. 
Отметил по-своему. 
Мы подводили итоги нашей работы с детскими больницами ЛДНР. 
На оборудование, лекарства и расходные материалы, для которых мы в этом году направили уже больше 40 миллионов рублей. 

Еще 7 миллионов рублей пошли на закупку лекарств и перевязочных материалов для больниц Харьковской и Херсонской областей.

Самые большие гуманитарные грузы медицинского назначения были переданы в Республиканский Травматологический центр Донецка для помощи детскому отделению, где спасают жизни раненым детям. 

А буквально на днях доставлена очередная гуманитарная помощь, самая большая, за все время работы фонда, в РДКБ в Луганск - больше 10 миллионов рублей на реанимационное и диагностическое оборудование, медикаменты.

Десятки миллионов рублей - это сотни, тысячи спасенных детских жизней.
И это тысячи, десятки тысяч людей, которые пожертвовали деньги на эту помощь. 
Большая, часть оборудования закуплена благодаря Евгению Поддубному @epoddubny и его подписчикам.

Низкий вам всем поклон от нас, от врачей, от маленьких пациентов.","The ""Doctor Liz"" Fund marked yesterday International Nurses' Day in its own way. They reviewed the year's work with children's hospitals in Luhansk and Donetsk People's Republic (LДНР). Over 40 million rubles were allocated this year for equipment, medicines, and consumables.

Another 7 million rubles went towards purchasing medicines and bandaging materials for hospitals in Kharkiv and Kherson regions.

The largest humanitarian medical supplies were delivered to the Republican Traumatological Center in Donetsk to assist the pediatric department, where they save the lives of wounded children.

Recently, another large humanitarian aid package was delivered to RDBK in Luhansk – over 10 million rubles for resuscitation and diagnostic equipment, as well as medications.

Ten million rubles represent hundreds, thousands of saved children's lives. And it is thousands, tens of thousands of people who donated money for this cause. A significant part of the equipment was purchased thanks to Eugene Poddubny (@epoddubny) and his followers.

We bow to you all from the bottom of our hearts, from the doctors, from the little patients.",No,
20005,"**🖇 Немного о качестве и ангажированности зарубежного OSINT

**С тех пор, как мы начали делать наши сводки на английском языке и распространять через сеть наших зарубежных коллег и партнеров, увеличилось количество упоминаний нашего канала на других языках. 

▪️В** Institute for the Study of War** на ежедневной основе стали ссылаться уже не только на украинские ресурсы, но и на Рыбаря, корректируя линию фронта и расписывая события. 

▪️Наши данные по потерям и морально-психологическому состоянию ВСУ находят подтверждение на страницах National Defense Magazine, Associated Press, AFP и The New York Times. 

▪️В МИД Франции официально опровергли информацию нашего [минирасследования ](https://t.me/rybar/33781)про поставку запрещенных кассетных боеприпасов. Неудобно получилось. 

Одновременно с этим нашим каналом заинтересовались различные расследователи: на этой неделе было выпущено уже два материала о Telegram-канале **Рыбарь**, который прозвали «OSINT-убийцами». 

🔻С подачи британского think-tank'a **Centre for Information Resilience** было [выпущено расследование ](https://www.info-res.org/post/killer-coordinates-how-a-russian-missile-hit-kyiv-with-the-help-of-online-sleuths)об «убийственных координатах»: команда Рыбаря повинна в гибели трех гражданских лиц на Киевском бронетанковом заводе. Речь идёт об [анализе](https://t.me/rybar/31160) видеорепортажа украинской стороны о ремонте российской военной техники, которую планировалось использовать в провокациях: по [определенным нами](https://t.me/rybar/31329) координатам цеха был нанесен удар. Находящаяся внутри техника была уничтожена — вместе с ремонтными бригадами. 

Сегодня в зарубежном пространстве Киевский бронетанковый завод позиционируется как__ мирный объект__, а нас рисуют как OSINT-команду убийц __ни в чём не повинных гражданских__.

Отдельно прошлись по нашим реквизитам для сбора средств,[ нашли связь](https://twitter.com/brechtcastel/status/1537052632107433985?s=20&t=2xuBRcqruj6iXHkxKSW2vg) с Олегом Тиньковым, получили некорректную информацию о сумме наших накоплений в крипте, которые мы тратим на оплату Maxar'овских снимков и пользование зарубежными сервисами, и пришли к выводу: __мы находимся в Москве__.

🔻Другая OSINT-команда [приписала](https://twitter.com/OSINTI1/status/1534604511750365185?s=20&t=3E2RwqYYWQbuG4IvrRSDrA) нас к __Сколково__ на основе данных о сервисе для защиты от DDOS-атак для нашего портала про воющих на Украине наемников ForeignCombatants.ru. 

🔻Вишенкой на торте стало [расследование](https://oko.press/sobota-kanal-na-telegramie-wskazuje-co-ma-zbombardowac-rosyjska-armia-zabojcza-wojna-informacyjna-kremla/) польского ресурса **OKO.press**, [связанного](https://t.me/pl_syrenka/3201) со структурами Джорджа Сороса. Оказывается, Рыбаря ведут** **[**Борис Рожин**](https://t.me/boris_rozhin), [**Евгений Поддубный**](https://t.me/epoddubny) и [**Александр Коц**](https://t.me/sashakots), а платит им за это дело хозяин «ЧВК Вагнера»** Евгений Пригожин**, который в доле с **Минобороны России **и передает нам указания из **Кремля**. 

По мнению автор(ки) расследования, добровольная OSINT-деятельность в России без патронажа государства невозможна, а Минобороны России не способно брать данные из открытых источников (в том числе и координаты), если нет некоего «договорняка». 

Правда, в последней части расследования всё сводится к достаточно дешёвому нарративу__ «Рыбарь призывает бомбить по объектам социально-значимой инфраструктуры, могут пострадать дети в детских садах и школах»__. 

И на этом месте у «расследователей» выключается тумблер «объективность» и все забывают о том, что школы и детские сады на Украине в районах ведения боевых действий** давно не работают**, а их под свои нужды забрали **ВСУ** и **отряды** **территориальной** **обороны**. 

**❗️Нам правда лестно, что мы удостоились такого внимания со стороны мировой общественности. Осталось лишь выпустить расследование про нас от неумёх из конторы Bellingcat, которых наша команда ещё в прошлом году подвела под статус «иноагентов».

**А знаете, что самое главное? Мы поняли, что там, за рубежом, у прославленных «Шерлоков Холмсов XXI века» нет ни малейшего понимания, как работает общественно-добровольческая разведка в России и российские медиатехнологии. И это, пожалуй, наше самое главное достижение: попасть в поле мирового зрения и оказаться персонажами какого-то исковерканного мифа.

__P.S. Напоминаем, что вы __[__тоже можете стать частью__](https://t.me/rybar/34016)__ «убийственной OSINT-команды» (самая острая нужда в художниках и motion-дизайнерах).
__#медиатехнологии
@rybar

__*Поддержать нас: __`4377 7278 0407 7977`","**🖇 A Brief Note on Quality and Bias in Foreign OSINT

Since we began producing our summaries in English and sharing them through our network of foreign colleagues and partners, the number of mentions of our channel in other languages has increased.

▪️At the **Institute for the Study of War**, references are no longer limited to Ukrainian resources but also include Rybar, with corrections to the front lines and detailed accounts of events.

▪️Our data on losses and the morale of the Ukrainian Armed Forces is corroborated by publications in *National Defense Magazine*, *Associated Press*, *AFP*, and *The New York Times*.

▪️The French Ministry of Foreign Affairs officially refuted the information from our [mini-investigation](https://t.me/rybar/33781) regarding the supply of banned canister munitions. That was awkward.

Simultaneously, various investigators have shown interest in our channel: this week, two articles were published about the Telegram channel **Rybar**, which was dubbed ""OSINT killers.""

🔻Under the guidance of the British think tank **Centre for Information Resilience**, a [report](https://www.info-res.org/post/killer-coordinates-how-a-russian-missile-hit-kyiv-with",No,
20006,"❗️Команда Русской Гуманитарной Миссии доставила в столицу ДНР 60 тонн груза, в состав которого, помимо продуктов и средств гигиены, вошло медицинское оборудование.

 ⁃ 100 специализированных кроватей и матрасов
 ⁃ инкубатор для реанимации новорождённых детей и многофункциональные кровати для младенцев
 ⁃ жизненно необходимые медикаменты и расходные материалы

Также, медучреждения ДНР и ЛНР получат аппараты Илизарова и ИВЛ, диагностические и измерительные приборы, операционные столы, прикроватные мониторы и хирургические наборы.

Спасибо всем, кто поддерживает работу РГМ! Вы потрясающие люди!

@epoddubny

***

Перечисление средств в фонд РГМ и фонд им. Елизаветы Глинки контролирую лично. 

2202 2032 5864 7967
карта МИР

41001302265551 ЮМани

bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80 BTC 

0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208 ETH

rfmFjVDUa7z1a2XC74yQpirdzk76AtCqiZ XRP

LPxD7gErrWSqqwYvmvuzRorLBZ9oMQ1Ngh LTC","The Russian Humanitarian Mission team delivered 60 tons of cargo to the capital of the DNR, including not only food and hygiene products but also medical equipment such as:

- 100 specialized beds and mattresses
- an incubator for neonatal resuscitation and multi-functional cribs for infants
- essential medications and disposable materials

Medical facilities in the DNR and LNR will also receive Ilizarov and ventilator apparatuses, diagnostic and measuring devices, operating tables, bedside monitors, and surgical sets.

Thank you all for supporting the work of the RGM! You are amazing people!

@epoddubny

***

I personally oversee donations to the RGM fund and the E. Glinka Memorial Fund.

2202 2032 5864 7967 - MIR card
41001302265551 - YooMoney
bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80 - BTC
0x47D9b99b239aEE283ba10d8D4D6c2269b2",No,
20007,"Авиация ВКС России наносит удары по объектам противника высокоточными боеприпасами на Бахмутском направлении.

@sashakots",The aviation of the Russian Air Force strikes high-precision munitions at targets of the enemy on the Bakhmut direction.,No,
20008,"Минобороны РФ: В результате удара уничтожено свыше 50 генералов и офицеров ВСУ, в том числе генерального штаба, командования группировки войск «Каховка», десантно-штурмовых войск и соединений, действующих на Николаевском и Запорожском направлениях.

@epoddubny","Russian Ministry of Defense: As a result of the strike, more than 50 officers of the Ukrainian Armed Forces were eliminated, including those from the general staff, the command of the ""Kakhovka"" group of forces, airborne-assault troops, and units operating on the Nikolayev and Zaporizhzhia directions.",No,
20009,"⚕️ **Друзья, сегодня отмечается День медицинского работника. Мы поздравляем всех врачей и сотрудников медицинских учреждений, ежедневно совершающих подвиг во имя жизни. Особая честь для нас – именно в этот день рассказать о людях, помогающих не только излечиваться, но и лечить. **
 
Бессонные ночи, дефицит необходимых препаратов, отсутствие воды и света, десятки тяжелейших ранений, с которыми даже опытные хирурги сталкивались впервые – такими мы увидели будни гражданских врачей, работающих буквально в полевых условиях на прифронтовых территориях. Мужественные, собранные, забывшие о своем страхе, эти люди вселяют уверенность и надежду в своих пациентов и их родных. 
 
Российские врачи одними из первых откликнулись на призыв РГМ помочь медикам ЛНР и ДНР. Благодаря пожертвованиям коллег из **Объединенной профсоюзной организации Федерального медико-биологического агентства РПРАЭП** новое высокотехнологическое оборудование и всё необходимое для выхаживания больных получили десятки медучреждений двух республик, среди которых: акушерское отделение в Горловке и перинатальный центр в Макеевке, больницы и медобъединения Донецка, Мариуполя, Ясиноватой, Первомайска, Енакиево и других городов и сёл, пострадавших от военных действий. Автомобили скорой помощи, более 20 тонн медикаментов, инкубаторы для новорожденных и аппараты УЗИ, операционные столы и хирургические наборы, диагностические и измерительные приборы – уже на страже жизни и здоровья мирных граждан.
 
**Все средства, собранные и переданные сотрудниками ФМБА (а это тысячи человек со всей России!), направляются строго по назначению согласно запросам. **Учитывая объем доставленной помощи, работа была проделана колоссальная: закупить необходимое, учесть каждый рубль и каждый товар, вплоть до упаковки таблеток, оформить документы, перевезти, передать из рук в руки, соблюсти десятки нюансов и правил. И на каждом этапе ежедневно на связи с нами была председатель профсоюзной организации **Елена Валентиновна Марчук** - человек с бесконечным терпением и золотым сердцем, которому мы особенно благодарны. 
 
**Русская Гуманитарная Миссия, а вместе с нами - десятки докторов, медсестер и медбратьев, сотни пациентов, детей и взрослых, остающихся на пострадавших территориях ЛНР и ДНР, - выражает глубокую признательность за внимание и участие, проявленные российскими медиками. Мы говорим спасибо за руку помощи, протянутую в самые тяжёлые и, казалось, безвыходные дни и месяцы. Ваша поддержка вновь и вновь заставляет поверить в то, что настоящее призвание не знает границ и предубеждений, а милосердие, сострадание и человечность – не утратили своего изначального смысла.**

#ргм #русскаягуманитарнаямиссия #rhm #russianhumanitarianmission #ргм_гуманитарнаяпомощь","⚕️ **Friends, today is the Day of Healthcare Workers. We congratulate all doctors and medical staff who daily perform a heroic act in the name of life. It is a special honor for us to tell the story of people who not only help heal but also treat on this very day.**

Sleepless nights, shortages of necessary medications, lack of water and electricity, and dozens of severe injuries that even experienced surgeons encountered for the first time—this is how we saw the everyday lives of civilian doctors working under field conditions on the frontlines. These brave, composed individuals, who have forgotten their own fear, instill confidence and hope in their patients and their families.

Russian doctors were among the first to respond to the call from RGM to assist medical personnel in LNR and DNR. Thanks to donations from the **Unified Trade Union Organization of the Federal Medical-Biological Agency of the RF (RPAFAEP)**, dozens of medical institutions in both republics received new high-tech equipment and everything needed for patient care, including gynecological departments in Donetsk and perinatal centers in Mariupol, hospitals and medical unions in Donetsk, Mariupol, Yasynuvata, Pryazovsk, Yenakiyevo, and other cities and villages affected",No,
20010,"После того, как первоначально довольно удачное локальное контрнаступление ВСУ в Харьковской области было остановлено, а сами всушники понесли тяжёлые потери, ВС РФ нанесли ответный удар. Сначала противник был выбит из Терновой, а затем нашими войсками был вновь взять крайне важный н.п. Рубежное. 

Противник попытался  контратаковать, дабы вернуть утраченное, но русские войска в крайне короткий срок создали надежный оборонительный рубеж в Рубежном и бандформированиям Украины пришлось отступить, оставив убитых на месте.","After the initially successful local counteroffensive by Ukrainian forces in the Kharkiv region was halted and the Ukrainian troops suffered heavy losses, the Russian Armed Forces retaliated. First, the enemy was driven out of Ternova, and then our troops recaptured the strategically important Rubizhne.

The enemy attempted a counterattack to regain what they had lost, but Russian forces quickly established a secure defensive line in Rubizhne, forcing the Ukrainian bandit formations to retreat, leaving behind their dead.",No,
